,beta,score,forwardPE,currentRatio,profitMargin,debtToEquity,returnOnEquity,longBusinessSummary
GOOG,1.099616,10,2,2,2,2,2,"Alphabet Inc. provides various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment offers products and services, including ads, Android, Chrome, hardware, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in the Google Play store; and Fitbit wearable devices, Google Nest home products, Pixel phones, and other devices, as well as in the provision of YouTube non-advertising services. The Google Cloud segment offers infrastructure, platform, and other services; Google Workspace that include cloud-based collaboration tools for enterprises, such as Gmail, Docs, Drive, Calendar, and Meet; and other services for enterprise customers. The Other Bets segment sells health technology and internet services. The company was founded in 1998 and is headquartered in Mountain View, California."
ATVI,0.524052,9,2,2,2,2,1,"Activision Blizzard, Inc., together with its subsidiaries, develops and publishes interactive entertainment content and services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company operates through three segments: Activision, Blizzard, and King. It develops and distributes content and services on video game consoles, personal computers, and mobile devices, including subscription, full-game, and in-game sales, as well as by licensing software to third-party or related-party companies that distribute Activision and Blizzard products. The company also maintains a proprietary online gaming service, Battle.net that facilitates digital distribution of content, online social connectivity, and the creation of user-generated content. In addition, it operates esports leagues and offer digital advertising content; and provides warehousing, logistics, and sales distribution services to third-party publishers of interactive entertainment software, as well as manufacturers of interactive entertainment hardware products. The company's key product franchises include Call of Duty, World of Warcraft, Diablo, Hearthstone, Overwatch, Overwatch League, and Candy Crush. It serves retailers and distributors, including mass-market retailers, consumer electronics stores, discount warehouses, and game specialty stores through third-party distribution and licensing arrangements. The company is headquartered in Santa Monica, California."
DJCO,0.813963,8,2,2,2,2,0,"Daily Journal Corporation publishes newspapers and websites covering in California, Arizona, and Utah. It operates in two segments, Traditional Business and Journal Technologies. The company publishes 10 newspapers of general circulation, including Los Angeles Daily Journal, San Francisco Daily Journal, Daily Commerce, The Daily Recorder, The Inter-City Express, San Jose Post-Record, Orange County Reporter, The Daily Transcript, Business Journal, and The Record Reporter. It also provides specialized information services; and serves as an advertising and newspaper representative for commercial and public notice advertising. In addition, the company offers case management software systems and related products, including eCourt, eProsecutor, eDefender, and eProbation, which are browser-based case processing systems; eFile, a browser-based interface that allows attorneys and the general public to electronically file documents with the court; and ePayIt, a service primarily for the online payment of traffic citations. It provides its software systems and related products for courts; prosecutor and public defender offices; probation departments; and other justice agencies, including administrative law organizations, city and county governments, and bar associations to manage cases and information electronically, to interface with other justice partners, and to extend electronic services to bar members and the public in 42 states and internationally. Daily Journal Corporation was incorporated in 1987 and is based in Los Angeles, California."
SOHU,1.600214,8,2,2,2,2,0,"Sohu.com Limited provides online media, video, and game products and services on PCs and mobile devices in China. The company offers online news, information, and content services through the mobile phone application Sohu News APP, mobile portal m.sohu.com, and www.sohu.com for PCs; and online video content and services through mobile phone application Sohu Video APP and tv.sohu.com, and ifox, a PC video application. The company is also involved in the development, operation, and licensing of online games for PCs and mobile devices, which include massive multiplayer online role-playing games, and casual and strategy games. In addition, it operates focus.cn, which provides online real estate information and services; and 17173.com website, which provides news, electronic forums, online videos, and other online game information services to game players, as well as offers mobile game distribution services. Further, the company provides paid subscription services, interactive broadcasting services, and sub-licensing of purchased video content to third parties. Sohu.com Limited was incorporated in 1996 and is headquartered in Beijing, China."
NFLX,1.277564,8,2,1,1,2,2,"Netflix, Inc. provides entertainment services. It offers TV series, documentaries, feature films, and mobile games across various genres and languages. The company provides members the ability to receive streaming content through a host of internet-connected devices, including TVs, digital video players, television set-top boxes, and mobile devices. It also provides DVDs-by-mail membership services in the United States. The company has approximately 222 million paid members in 190 countries. Netflix, Inc. was incorporated in 1997 and is headquartered in Los Gatos, California."
NTES,0.45679,8,2,2,1,2,1,"NetEase, Inc. provides online services focusing on diverse content, community, communication, and commerce in the Peoples' Republic of China and internationally. The company operates in three segments: Online Game Services, Youdao, Cloud Music, and Innovative Businesses and Others. It develops and operates PC and mobile games, as well as offers games licensed from other game developers. The company's products and services include Youdao Dictionary, an online knowledge tool; Youdao Translation, a tool specifically designed to support translation needs of business and leisure travelers; U-Dictionary, an online dictionary and translation app; Youdao Kids' Dictionary, a smart and fun tool; smart devices, such as Youdao Dictionary Pen, Youdao Listening Pod, Youdao Smart Lamp, Youdao Pocket Translator, and Youdao Super Dictionary; online courses; interactive learning apps; enterprise services, such as Youdao Smart Learning Terminal, a device that automates paper-based homework processing and provides learning diagnosis through artificial intelligence technology at schools; and Youdao Smart Cloud, a cloud-based platform that allows third-party app developers, smart device brands and manufacturers to access advanced optical character recognition capabilities and neural machine translation engine. Its products and services also include NetEase Cloud Music, a music streaming platform; Yanxuan, an e-commerce platform, which sells private label products, including consumer electronics, food, apparel, homeware, kitchenware, and other general merchandise; NetEase Media, an internet media platform; NetEase Mail, an email service; NetEase CC Live streaming, a live streaming platform with a focus on game broadcasting; and NetEase Pay, a payment platform. The company was formerly known as NetEase.com, Inc. and changed its name to NetEase, Inc. in March 2012. NetEase, Inc. was founded in 1997 and is headquartered in Hangzhou, the People's Republic of China."
FB,1.40613,8,-1,2,2,2,2,"Meta Platforms, Inc. develops products that enable people to connect and share with friends and family through mobile devices, personal computers, virtual reality headsets, wearables, and in-home devices worldwide. It operates in two segments, Family of Apps and Reality Labs. The Family of Apps segment's products include Facebook, which enables people to share, discover, and connect with interests; Instagram, a community for sharing photos, videos, and private messages, as well as feed, stories, reels, video, live, and shops; Messenger, a messaging application for people to connect with friends, family, groups, and businesses across platforms and devices through chat, audio and video calls, and rooms; and WhatsApp, a messaging application that is used by people and businesses to communicate and transact privately. The Reality Labs segment provides augmented and virtual reality related products comprising virtual reality hardware, software, and content that help people feel connected, anytime, and anywhere. The company was formerly known as Facebook, Inc. and changed its name to Meta Platforms, Inc. in October 2021. Meta Platforms, Inc. was incorporated in 2004 and is headquartered in Menlo Park, California."
BCE,0.380979,5,2,0,1,1,1,"BCE Inc., a telecommunications and media company, provides wireless, wireline, Internet, and television (TV) services to residential, business, and wholesale customers in Canada. The company operates through three segments: Bell Wireless, Bell Wireline, and Bell Media. The Bell Wireless segment offers wireless voice and data communication products and services, as well as consumer electronics products. The Bell Wireline segment offers data, including internet access and Internet protocol television (IPTV), local telephone, and long distance services, as well as other communication services and products; and satellite TV service and connectivity servuces. This segment also buys and sells local telephone, long distance, data, and other services from or to resellers and other carriers. The Bell Media segment provides conventional TV, specialty TV, pay TV, streaming services, digital media services, radio broadcasting services, and out-of-home advertising services. BCE Inc. was founded in 1880 and is headquartered in Verdun, Canada."
SIRI,0.935717,3,2,0,1,-1,-1,"Sirius XM Holdings Inc. provides satellite radio services on a subscription fee basis in the United States. It broadcasts music, sports, entertainment, comedy, talk, news, traffic, and weather channels, including various music genres, such as rock, pop and hip-hop, country, dance, jazz, Latin, and classical; live play-by-play sports from various leagues and colleges; various talk and entertainment channels for a range of audiences; national, international, and financial news; and limited run channels. The company also provides streaming service that includes a range of music and non-music channels, and podcasts, as well as channels that are not available on its satellite radio service; and offers applications to allow consumers to access its streaming service on smartphones, tablets, computers, home devices, and other consumer electronic equipment, as well as connected vehicle services. In addition, it distributes satellite radios through automakers and retailers, as well as its website. Further, the company provides location-based services through two-way wireless connectivity, including safety, security, convenience, remote vehicles diagnostic, maintenance and data, and stolen or parked vehicle locator services. Additionally, it offers satellite television services, which offer music channels on the DISH Network satellite television service as a programming package; Travel Link, a suite of data services that include graphical weather, fuel prices, sports schedule and scores, and movie listings; and real-time traffic and weather services. The company was incorporated in 2013 and is headquartered in New York, New York. Sirius XM Holdings Inc. is a subsidiary of Liberty Media Corporation."
MTCH,1.235441,3,2,1,0,-1,-1,"Match Group, Inc. provides dating products worldwide. The company's portfolio of brands includes Tinder, Match, Meetic, OkCupid, Hinge, Pairs, PlentyOfFish, and OurTime, as well as a various other brands. The company was incorporated in 1986 and is based in Dallas, Texas."
CMCSA,0.985525,-1,2,0,0,1,1,"Comcast Corporation operates as a media and technology company worldwide. It operates through Cable Communications, Media, Studios, Theme Parks, and Sky segments. The Cable Communications segment offers broadband, video, voice, wireless, and other services to residential and business customers under the Xfinity brand; and advertising services. The Media segment operates NBCUniversal's television and streaming platforms, including national, regional, and international cable networks, the NBC and Telemundo broadcast, and Peacock networks. The Studios segment operates NBCUniversal's film and television studio production and distribution operations. The Theme Parks segment operates Universal theme parks in Orlando, Florida; Hollywood, California; Osaka, Japan; and Beijing, China. The Sky segment offers direct-to-consumer services, such as video, broadband, voice and wireless phone services, and content business operates entertainment networks, the Sky News broadcast network, and Sky Sports networks. The company also owns the Philadelphia Flyers, as well as the Wells Fargo Center arena in Philadelphia, Pennsylvania; and provides streaming service, such as Peacock. Comcast Corporation was founded in 1963 and is headquartered in Philadelphia, Pennsylvania."
T,0.691358,-1,2,0,1,1,0,"AT&T Inc. provides telecommunications, media, and technology services worldwide. Its Communications segment offers wireless voice and data communications services; and sells handsets, wireless data cards, wireless computing devices, and carrying cases and hands-free devices through its own company-owned stores, agents, and third-party retail stores. It also provides data, voice, security, cloud solutions, outsourcing, and managed and professional services, as well as customer premises equipment for multinational corporations, small and mid-sized businesses, governmental, and wholesale customers. In addition, this segment offers broadband fiber and legacy telephony voice communication services to residential customers. It markets its communications services and products under the AT&T, Cricket, AT&T PREPAID, and AT&T Fiber brand names. The company's Latin America segment provides wireless services in Mexico; and video services in Latin America. This segment markets its services and products under the AT&T and Unefon brand names. The company was formerly known as SBC Communications Inc. and changed its name to AT&T Inc. in 2005. AT&T Inc. was incorporated in 1983 and is headquartered in Dallas, Texas."
VZ,0.383567,-1,2,0,1,0,2,"Verizon Communications Inc., through its subsidiaries, offers communications, technology, information, and entertainment products and services to consumers, businesses, and governmental entities worldwide. Its Consumer segment provides postpaid and prepaid service plans; internet access on notebook computers and tablets; wireless equipment, including smartphones and other handsets; and wireless-enabled internet devices, such as tablets, and other wireless-enabled connected devices comprising smart watches. It also provides residential fixed connectivity solutions, such as internet, video, and voice services; and sells network access to mobile virtual network operators. As of December 31, 2021, it had approximately 115 million wireless retail connections, 7 million wireline broadband connections, and 4 million Fios video connections. The company's Business segment provides network connectivity products, including private networking, private cloud connectivity, virtual and software defined networking, and internet access services; and internet protocol-based voice and video services, unified communications and collaboration tools, and customer contact center solutions. This segment also offers a suite of management and data security services; domestic and global voice and data solutions, such as voice calling, messaging services, conferencing, contact center solutions, and private line and data access networks; customer premises equipment; installation, maintenance, and site services; and Internet of Things products and services. As of December 31, 2021, it had approximately 27 million wireless retail postpaid connections and 477 thousand wireline broadband connections. The company was formerly known as Bell Atlantic Corporation and changed its name to Verizon Communications Inc. in June 2000. Verizon Communications Inc. was incorporated in 1983 and is headquartered in New York, New York."
VEON,1.444444,-1,2,1,0,0,2,"VEON Ltd., through its subsidiaries, provides mobile and fixed-line telecommunications services. It offers voice, data, and other telecommunication services through a range of wireless, fixed, and broadband internet services. The company provides value-added services, including short messages, multimedia messages, caller number identification, call waiting, data transmission, mobile internet, downloadable content, mobile finance, machine-to-machine, and other services; national and international roaming services; wireless internet access; and mobile bundles and call completion services. It also offers value-added services for corporations, operators, and consumers, as well as sells equipment and accessories. The company provides its services under the Beeline, Kyivstar, Jazz, Djezzy, and banglalink brands in Russia, Pakistan, Algeria, Uzbekistan, Ukraine, Bangladesh, Kazakhstan, Kyrgyzstan, and Georgia. It serves approximately 220 million customers. The company was formerly known as VimpelCom Ltd. and changed its name to VEON Ltd. in March 2017. VEON Ltd. was founded in 1992 and is headquartered in Amsterdam, the Netherlands."
