,beta,score,forwardPE,currentRatio,profitMargin,debtToEquity,returnOnEquity,longBusinessSummary
FCX,1.9996,10,2,2,2,2,2,"Freeport-McMoRan Inc. engages in the mining of mineral properties in North America, South America, and Indonesia. The company primarily explores for copper, gold, molybdenum, silver, and other metals, as well as oil and gas. Its assets include the Grasberg minerals district in Indonesia; Morenci, Bagdad, Safford, Sierrita, and Miami in Arizona; Tyrone and Chino in New Mexico; and Henderson and Climax in Colorado, North America, as well as Cerro Verde in Peru and El Abra in Chile. The company also operates a portfolio of oil and gas properties primarily located in offshore California and the Gulf of Mexico. As of December 31, 2021, it operated approximately 135 wells. The company was formerly known as Freeport-McMoRan Copper & Gold Inc. and changed its name to Freeport-McMoRan Inc. in July 2014. Freeport-McMoRan Inc. was incorporated in 1987 and is headquartered in Phoenix, Arizona."
RIO,0.645176,9,2,1,2,2,2,"Rio Tinto Group engages in exploring, mining, and processing mineral resources worldwide. The company offers aluminum, copper, diamonds, gold, borates, titanium dioxide, salt, iron ore, and lithium. It also owns and operates open pit and underground mines, mills, refineries, smelters, power stations, and research and service facilities. Rio Tinto Group was founded in 1873 and is headquartered in London, the United Kingdom."
X,2.151418,9,2,1,2,2,2,"United States Steel Corporation produces and sells flat-rolled and tubular steel products primarily in North America and Europe. It operates through four segments: North American Flat-Rolled (Flat-Rolled), Mini Mill, U. S. Steel Europe (USSE), and Tubular Products (Tubular). The Flat-Rolled segment offers slabs, strip mill plates, sheets, and tin mill products, as well as iron ore and coke. This segment serves customers in the service center, conversion, transportation, automotive, construction, container, appliance, and electrical markets. The Mini Mill segment provides hot-rolled, cold-rolled, and coated sheets and electrical products. This segment serves customers in the automotive, appliance, construction, container, transportation, and service center markets. The USSE segment provides slabs, strip mill plates, sheets, tin mill products, and spiral welded pipes. This segment serves customers in the construction, container, appliance and electrical, service center, conversion, oil, gas, and petrochemical markets. The Tubular segment offers seamless and electric resistance welded steel casing and tubing products, as well as standard and line pipe and mechanical tubing products primarily to customers in the oil, gas, and petrochemical markets. The company also engages in the real estate business. United States Steel Corporation was founded in 1901 and is headquartered in Pittsburgh, Pennsylvania."
FFHL,1.043547,9,2,2,1,2,2,"Fuwei Films (Holdings) Co., Ltd., through its subsidiaries, engages in the development, manufacture, and distribution of biaxially oriented polyethylene-terephthalate films in the People's Republic of China. The company offers dry films, which are used in circuit boards production, nameplate, and crafts etching; chemically treated films used to enhance properties, such as barrier resistance, printing properties, and electrostatic resistance; stamping foil base films and transfer base films for packaging of luxury items, including cigarettes and alcohol; and printing base films for use in printing and lamination. It also provides metallized films or aluminum plating base films for use in vacuum aluminum plating for flexible plastic lamination; high-gloss films for aesthetically enhanced packaging purposes; heat-sealable films for construction, printing, and making heat sealable bags; and laser holographic base films used as anti-counterfeit films for food, medicine, cosmetics, cigarettes, and alcohol packaging; and heat shrinkable films used for special-shaped packaging for beverage and cosmetics. The company markets and sells its products under Fuwei Films brand for packaging, imaging, electronics, electrical, and magnetic products. It also exports its products to end-users and distributors primarily in Europe, Asia, and North America. The company was formerly known as Neo-Luck Plastic Holdings Co., Ltd. and changed its name to Fuwei Films (Holdings) Co., Ltd. in April 2005. The company was founded in 2003 and is headquartered in Weifang, the People's Republic of China. Fuwei Films (Holdings) Co., Ltd. is a subsidiary of Hongkong Ruishang International Trade Co., Ltd."
NTR,0.8939,8,2,1,1,2,2,"Nutrien Ltd. provides crop inputs and services. It offers potash, nitrogen, phosphate, and sulfate products; and financial solutions. The company also distributes crop nutrients, crop protection products, seeds, and merchandise products through approximately 2,000 retail locations in the United States, Canada, South America, and Australia. In addition, it provides services directly to growers through a network of farm centers in North America, South America, and Australia. The company was founded in 2017 and is headquartered in Saskatoon, Canada."
ASH,1.012784,8,2,2,2,2,0,"Ashland Inc. provides additives and specialty ingredients worldwide. It operates through Life Sciences; Personal Care & Household; Specialty Additives; and Intermediates and Solvents segments. The Life Sciences segment offers pharmaceutical solutions, including controlled release polymers, disintegrants, tablet coatings, thickeners, solubilizers, and tablet binders; nutrition solutions, such as thickeners, stabilizers, emulsifiers, and additives; and nutraceutical solutions comprising products for weight management, joint comfort, stomach and intestinal health, sports nutrition, and general wellness, as well as custom formulation, toll processing, and particle engineering solutions. The Personal Care & Household segment provides a range of nature-based, biodegradable, and performance ingredients; solutions for toothpastes, mouth washes and rinses, denture cleaning, and care for teeth; and household supplies nature-derived rheology ingredients, biodegradable surface wetting agents, performance encapsulates, and specialty polymers. The Specialty Additives segment offers rheology modifiers, foam control agents, surfactants and wetting agents, pH neutralizers, advanced ceramics used in catalytic converters, environmental filters, ingredients for the manufacturing of ceramic capacitors, plasma display panels and solar cells, ingredients for textile printing, thermoplastic metals, and alloys for welding. The Intermediates and Solvents segment produces 1,4 butanediol and related derivatives, including n-methylpyrrolidone. It offers its products to customers in a range of consumer and industrial markets, such as architectural coatings, construction, energy, food and beverage, nutraceuticals, personal care, and pharmaceutical. The company was formerly known as Ashland Global Holdings Inc. Ashland Inc. was founded in 1924 and is based in Wilmington, Delaware."
BHP,0.733766,8,1,1,2,2,2,"BHP Group Limited operates as a resources company in Australia, Europe, China, Japan, India, South Korea, the rest of Asia, North America, South America, and internationally. The company operates through Copper, Iron Ore, and Coal segments. It engages in the mining of copper, silver, zinc, molybdenum, uranium, gold, iron ore, and metallurgical and energy coal. The company is also involved in mining, smelting, and refining of nickel; and potash development activities. In addition, it provides towing, freight, marketing and trading, marketing support, finance, administrative, and other services. The company was founded in 1851 and is headquartered in Melbourne, Australia."
EMN,1.444266,7,2,1,0,2,2,"Eastman Chemical Company operates as a specialty materials company in the United States and internationally. The company's Additives & Functional Products segment offers hydrocarbon and rosin resins; organic acid-based solutions; amine derivative-based building blocks; metam-based soil fumigants, thiram and ziram based fungicides, and plant growth regulators; specialty coalescent, specialty and commodity solvents, paint additives, and specialty polymers; heat transfer and aviation fluids; insoluble sulfur and anti-degradant rubber additives; and performance resins. It serves transportation, personal care, wellness, food, feed, agriculture, building and construction, water treatment, energy, consumables, durables, and electronics markets. Its Advanced Materials segment provides copolyesters, cellulosic biopolymers, cellulose esters, polyvinyl butyral (PVB) sheets, and window and protective films, and aftermarket applied film products for value-added end uses in the transportation, durables, electronics, building and construction, medical and pharma, and consumables markets. The company's Chemical Intermediates segment offers methylamines and salts higher amines and solvents; Olefin and acetyl derivatives, ethylene, and commodity solvents; and primary non-phthalate and phthalate plasticizers, and niche non- phthalate plasticizers to the industrial chemicals and processing, building and construction, health and wellness, and agrochemicals. Its Fibers segment provides cellulose acetate tow, triacetin, cellulose acetate flake, acetic acid, and acetic anhydride for use in filtration media primarily cigarette filters; natural and solution dyed acetate yarns for use in consumables, and health and wellness markets; and wet-laid nonwoven media, specialty and engineered papers, and cellulose acetate fibers for transportation, industrial, agriculture and mining, and aerospace markets. Eastman Chemical Company was founded in 1920 and is headquartered in Kingsport, Tennessee."
PKX,1.035576,7,2,2,0,2,1,"POSCO Holdings Inc., together with its subsidiaries, manufactures and sells steel rolled products and plates in South Korea and internationally. It operates through four segments: Steel, Construction, Trading, and Others. The company offers hot and cold rolled steel, steel plates, wire rods, galvanized sheets, electrical steel, stainless steel, and titanium. It also engages in the design, manufacture, and construction of steel mills and their facilities, and commercial and residential facilities; export and import of raw materials, as well as provision of supply and purchase transactions between domestic and foreign companies, and various steel products; power generation activities; and provision of network, system integration, and logistics services. In addition, the company is involved in the engineering and construction; research and consulting; architectural design and supervision; investment in venture, energy, and technology industries; electronic commerce; intellectual property services and consulting; transporting and warehousing; real estate development, rental, sale, and management; and education and real estate business. Further, it engages in the resource development; mine development; business facility maintenance; fuel cell; iron ore and coal sales; anode reproduction; and cargo handling business, as well as operates housing business agency. Additionally, the company is involved in the IT service and DVR; electric control engineering; forest resources development; refractory materials sales and furnace maintenance; quicklime manufacturing and sales; wastewater treatment operation and maintenance; rice processing; grain sales; and social enterprise businesses. POSCO Holdings Inc. was incorporated in 1968 and is headquartered in Pohang, South Korea."
FMC,0.838993,7,2,1,1,1,2,"FMC Corporation, an agricultural sciences company, provides crop protection, plant health, and professional pest and turf management products. It develops, markets, and sells crop protection chemicals that include insecticides, herbicides, and fungicides; and biologicals, crop nutrition, and seed treatment products, which are used in agriculture to enhance crop yield and quality by controlling a range of insects, weeds, and diseases, as well as in non-agricultural markets for pest control. The company markets its products through its own sales organization and through alliance partners, independent distributors, and sales representatives. It operates in North America, Latin America, Europe, the Middle East, Africa, and Asia. FMC Corporation was founded in 1883 and is headquartered in Philadelphia, Pennsylvania."
