,beta,score,forwardPE,currentRatio,profitMargin,debtToEquity,returnOnEquity,longBusinessSummary
SNA,1.090251,9,2,2,1,2,2,"Snap-on Incorporated manufactures and markets tools, equipment, diagnostics, and repair information and systems solutions for professional users worldwide. It operates through Commercial & Industrial Group, Snap-on Tools Group, Repair Systems & Information Group, and Financial Services segments. The company offers hand tools, including wrenches, sockets, ratchet wrenches, pliers, screwdrivers, punches and chisels, saws and cutting tools, pruning tools, torque measuring instruments, and other products; power tools, such as cordless, pneumatic, hydraulic, and corded tools; and tool storage products comprising tool chests, roll cabinets, and other products. It also provides handheld and computer-based diagnostic products, service and repair information products, diagnostic software solutions, electronic parts catalogs, business management systems and services, point-of-sale systems, integrated systems for vehicle service shops, original equipment manufacturer purchasing facilitation services, and warranty management systems and analytics. In addition, the company offers solutions for the service of vehicles and industrial equipment that include wheel alignment equipment, wheel balancers, tire changers, vehicle lifts, test lane equipment, collision repair equipment, vehicle air conditioning service equipment, brake service equipment, fluid exchange equipment, transmission troubleshooting equipment, safety testing equipment, battery chargers, and hoists, as well as after-sales support services and training programs. Further, it provides financing programs to facilitate the sales of its products and support its franchise business. The company serves the aviation and aerospace, agriculture, construction, government and military, mining, natural resources, power generation, and technical education industries, as well as vehicle dealerships and repair centers. Snap-on Incorporated was founded in 1920 and is based in Kenosha, Wisconsin."
HTLD,0.488718,9,2,2,2,2,1,"Heartland Express, Inc., together with its subsidiaries, operates as a short-to-medium haul truckload carrier in the United States and Canada. It primarily provides nationwide asset-based dry van truckload service for shippers from Washington to Florida and New England to California; and temperature-controlled truckload services. The company offers its services under the Heartland Express and Millis Transfer brand names. It primarily serves retailers and manufacturers in consumer goods, appliances, food products, and automotive industries. The company was founded in 1978 and is headquartered in North Liberty, Iowa."
TREX,1.467007,8,1,2,1,2,2,"Trex Company, Inc. manufactures and distributes decking, railing, and outdoor living products and accessories for residential and commercial markets in the United States. The company operates in two segments, Trex Residential and Trex Commercial. It offers decking products under the names Trex Transcend, Trex Select, and Trex Enhance for protection against fading, staining, mold, and scratching; Trex Hideaway, a hidden fastening system; and Trex DeckLighting, a LED dimmable deck lighting for use on posts, floors, and steps. The company also provides Trex Transcend Railing products that are used in Trex decking products and other decking materials; Trex Select Railing products for a simple clean finished look; Trex Enhance Railing system; and Trex Signature aluminum railing for a contemporary look. In addition, it offers Trex Seclusions, a fencing product that includes structural posts, bottom and top rails, pickets, and decorative post caps. In addition, it designs, engineers, and markets architectural and aluminum railing systems, and staging equipment and accessories for the commercial market, as well as sports stadiums and performing arts venues. Further, the company acts as a licensor in various licensing agreements with third parties to manufacture and sell products under the Trex name, including Trex Outdoor Furniture; Trex RainEscape, an above joist deck drainage system; Trex Pergola, a cellular PVC product; Trex Latticeworks outdoor lattice boards; Trex Cornhole boards; Diablo Trex Blade, a saw blade for wood-alternative composite decking; Trex SpiralStairs and structural steel posts; and Trex Outdoor Kitchens, Cabinetry, and Storage products. It sells its products through wholesale distributors, retail lumber dealers, and Home Depot and Lowe's stores, as well as through its direct sales staff, independent sales representatives, and bidding on projects. Trex Company, Inc. was founded in 1996 and is headquartered in Winchester, Virginia."
DE,1.085142,7,2,2,1,0,2,"Deere & Company manufactures and distributes various equipment worldwide. The company operates through four segments: Production and Precision Agriculture, Small Agriculture and Turf, Construction and Forestry, and Financial Services. The Production and Precision Agriculture segment provides mid-size tractors, combines, cotton pickers and strippers, sugarcane harvesters, harvesting front-end equipment, sugarcane loaders, pull-behind scrapers, and tillage and seeding equipment, as well as application equipment, including sprayers and nutrient management, and soil preparation machinery for grain growers. The Small Agriculture and Turf segment offers utility tractors, and related loaders and attachments; turf and utility equipment, including riding lawn equipment, commercial mowing equipment, golf course equipment, and utility vehicles, as well as implements for mowing, tilling, snow and debris handling, aerating, residential, commercial, golf, and sports turf care applications; other outdoor power products; and hay and forage equipment. This segment also resells products from other manufacturers. It serves dairy and livestock producers, crop producers, and turf and utility customers. The Construction and Forestry segment provides a range of backhoe loaders, crawler dozers and loaders, four-wheel-drive loaders, excavators, motor graders, articulated dump trucks, landscape and skid-steer loaders, milling machines, pavers, compactors, rollers, crushers, screens, asphalt plants, log skidders, log feller bunchers, log loaders and forwarders, log harvesters, and attachments; and roadbuilding equipment. The Financial Services segment finances sales and leases agriculture and turf, and construction and forestry equipment. It also offers wholesale financing to dealers of the foregoing equipment; and extended equipment warranties, as well as finances retail revolving charge accounts. Deere & Company was founded in 1837 and is headquartered in Moline, Illinois."
ARCB,1.550446,7,2,1,0,2,2,"ArcBest Corporation provides freight transportation and integrated logistics services. It operates through three segments: Asset-Based, ArcBest, and FleetNet. The Asset-Based segment transports general commodities, such as food, textiles, apparel, furniture, appliances, chemicals, nonbulk petroleum products, rubber, plastics, metal and metal products, wood, glass, automotive parts, machinery, and miscellaneous manufactured products through less-than-truckload services. It also offers motor carrier freight transportation services to customers in Mexico through arrangements with trucking companies. The ArcBest segment provides expedite freight transportation services to commercial and government customers; premium logistics services, such as deployment of specialized equipment to meet linehaul requirements; and international freight transportation with air, ocean, and ground services. It also offers third-party transportation brokerage services by sourcing various capacity solutions, including dry van over the road and intermodal, temperature-controlled and refrigerated, flatbed, intermodal or container shipping, and specialized equipment; full-container and less-than-container load ocean transportation services; warehousing and distribution services; managed transportation services; and moving services to do-it-yourself' consumer, as well as provides final mile, time critical, product launch, warehousing, retail logistics, supply chain optimization, and trade show shipping services. The FleetNet segment provides roadside repair solutions and vehicle maintenance management services for commercial and private fleets through a network of third-party service providers. The company was formerly known as Arkansas Best Corporation and changed its name to ArcBest Corporation in May 2014. ArcBest Corporation was founded in 1923 and is headquartered in Fort Smith, Arkansas."
MIDD,1.581949,7,2,1,1,1,2,"The Middleby Corporation designs, manufactures, markets, distributes, and services a range of foodservice, food processing, and residential kitchen equipment in the United States, Canada, Asia, Europe, the Middle East, and Latin America. Its Commercial Foodservice Equipment Group segment offers conveyor, combi, convection, baking, proofing, deck, speed cooking, and hydrovection ovens; ranges, fryers, rethermalizers; steam cooking, food warming, catering, induction cooking, and countertop cooking equipment; heated cabinets, charbroilers, ventless cooking systems, kitchen ventilation, toasters, griddles, charcoal grills, professional mixers, stainless steel fabrication, custom millwork, professional refrigerators, blast chillers, cold rooms, ice machines, and freezers; and soft serve ice cream, coffee and beverage dispensing, home and professional craft brewing equipment, fry dispensers, bottle filling and canning equipment, and IoT solutions. The company's Food Processing Equipment Group segment provides batch, baking, proofing, conveyor belt, and continuous processing ovens; frying and automated thermal processing systems; tumblers, massagers, grinders, slicers, reduction and emulsion systems, mixers, formers, and blenders; battering, breading, and seeding equipment; water cutting systems, food presses, food suspension equipment, filling and depositing solutions, and forming equipment; and food safety, food handling, freezing, and defrosting and packaging equipment for customers producing hot dog, dinner sausage, poultry, and lunchmeat, as well as muffin, cookie, and bread products. Its Residential Kitchen Equipment Group segment offers kitchen equipment comprising cookers, stoves, dishwashers, microwaves, cooktops, wine coolers, ice machines, and ventilation and outdoor equipment. The company was formerly known as Middleby Marshall Oven Company and changed its name to The Middleby Corporation in 1985. The company was founded in 1888 and is based in Elgin, Illinois."
NOC,0.652618,7,2,1,1,1,2,"Northrop Grumman Corporation operates as an aerospace and defense company worldwide. The company's Aeronautics Systems segment designs, develops, manufactures, integrates, and sustains aircraft systems. This segment also offers unmanned autonomous aircraft systems, including high-altitude long-endurance strategic ISR systems and vertical take-off and landing tactical ISR systems; and strategic long-range strike aircraft, tactical fighter and air dominance aircraft, and airborne battle management and command and control systems. Its Defense Systems segment designs, develops, and produces weapons and mission systems. It offers products and services, such as integrated battle management systems, weapons systems and aircraft, and mission systems. This segment also provides command and control and weapons systems, including munitions and missiles; precision strike weapons; propulsion, such as air-breathing and hypersonic systems; gun systems and precision munitions; life cycle service and support for software, weapons systems, and aircraft; and logistics support, sustainment, operation, and modernization for air, sea, and ground systems. The company's Mission Systems segment offers cyber, command, control, communications and computers, intelligence, surveillance, and reconnaissance systems; radar, electro-optical/infrared and acoustic sensors; electronic warfare systems; advanced communications and network systems; cyber solutions; intelligence processing systems; navigation; and maritime power, propulsion, and payload launch systems. This segment also provides airborne multifunction sensors; maritime/land systems and sensors; navigation, targeting, and survivability solutions; and networked information solutions. Its Space Systems segment offers satellites and payloads; ground systems; missile defense systems and interceptors; launch vehicles and related propulsion systems; and strategic missiles. The company was founded in 1939 and is based in Falls Church, Virginia."
CNI,0.642093,7,1,0,2,2,2,"Canadian National Railway Company, together with its subsidiaries, engages in the rail and related transportation business. The company's portfolio of goods includes petroleum and chemicals, grain and fertilizers, coal, metals and minerals, forest products, intermodal, and automotive products serving exporters, importers, retailers, farmers, and manufacturers. It operates a network of 19,500 route miles of track spanning Canada and the United States. The company also provides vessels and docks, transloading and distribution, automotive logistics, and freight forwarding and transportation management services. Canadian National Railway Company was incorporated in 1919 and is headquartered in Montreal, Canada."
GD,0.896126,7,2,1,0,2,2,"General Dynamics Corporation operates as an aerospace and defense company worldwide. It operates through four segments: Aerospace, Marine Systems, Combat Systems, and Technologies. The Aerospace segment designs, manufactures, and sells business jets; and offers aircraft maintenance and repair, management, charter, aircraft-on-ground support and completion, staffing, and fixed-base operator services. The Marine Systems segment designs and builds nuclear-powered submarines, surface combatants, and auxiliary ships for the United States Navy and Jones Act ships for commercial customers, as well as builds crude oil and product tankers, and container and cargo ships. This segment also provides navy ships maintenance and modernization services; lifecycle support and repair services for navy surface ships; and program management, planning, engineering, and design support services for submarines and surface ships. The Combat Systems segment manufactures land combat solutions, such as wheeled and tracked combat vehicles, Stryker wheeled combat vehicles, piranha vehicles, weapons systems, munitions, mobile bridge systems with payloads, tactical vehicles, main battle tanks, armored vehicles, and armaments. This segment also offers modernization programs, engineering, support, and sustainment services. The Technologies segment provides information technology solutions and mission support services; mobile communication, computers, and command-and-control mission systems; and intelligence, surveillance, and reconnaissance solutions to military, intelligence, and federal civilian customers. This segment also offers cloud computing, artificial intelligence; machine learning; big data analytics; development, security, and operations; software-defined networks; everything-as-a-service; defense enterprise office system solutions; and unmanned undersea vehicle manufacturing and assembly services. General Dynamics Corporation was founded in 1899 and is headquartered in Reston, Virginia."
AC,1.139633,6,2,2,2,-1,0,"Associated Capital Group, Inc. provides investment advisory services in the United States. The company offers alternative investment management and asset management services. It also invests in new and existing businesses. The company was founded in 1976 and is headquartered in Greenwich, Connecticut."
